case_id,medium,rw,access_size_bytes,burst_count,issue_mode,address_pattern,total_subrequests,macro_min_latency_ns,macro_avg_latency_ns,macro_p50_latency_ns,macro_p95_latency_ns,macro_p99_latency_ns,macro_max_latency_ns,total_time_ns,bandwidth_GBps
0,dram,read,512,1,back_to_back,contiguous,16,17.493,17.493,17.493,17.493,17.493,17.493,17.493,29.2689
1,dram,read,512,2,back_to_back,contiguous,32,17.493,18.326,18.326,19.0757,19.1423,19.159,19.159,53.4475
2,dram,read,512,4,back_to_back,contiguous,64,17.493,19.992,19.992,22.2411,22.441,22.491,22.491,91.0586
3,dram,read,512,8,back_to_back,contiguous,128,17.493,23.324,23.324,28.5719,29.0384,29.155,29.155,140.49
4,dram,read,512,16,back_to_back,contiguous,256,17.493,29.988,29.988,41.2335,42.2331,42.483,42.483,192.83
5,dram,read,512,32,back_to_back,contiguous,512,17.493,36.652,36.652,53.2287,55.2945,55.811,55.811,293.562
6,dram,read,512,64,back_to_back,contiguous,1024,17.493,52.0625,54.145,77.469,81.4174,82.467,82.467,397.347
7,dram,read,512,128,back_to_back,contiguous,2048,17.493,84.7317,84.133,142.443,146.991,147.441,147.441,444.49
8,dram,read,1024,1,back_to_back,contiguous,32,19.159,19.159,19.159,19.159,19.159,19.159,19.159,53.4475
9,dram,read,1024,2,back_to_back,contiguous,64,19.159,20.825,20.825,22.3244,22.4577,22.491,22.491,91.0586
10,dram,read,1024,4,back_to_back,contiguous,128,19.159,24.157,24.157,28.6552,29.055,29.155,29.155,140.49
11,dram,read,1024,8,back_to_back,contiguous,256,19.159,30.821,30.821,41.3168,42.2498,42.483,42.483,192.83
12,dram,read,1024,16,back_to_back,contiguous,512,19.159,37.485,37.485,53.312,55.3112,55.811,55.811,293.562
13,dram,read,1024,32,back_to_back,contiguous,1024,19.159,52.8955,54.978,78.2187,81.4341,82.467,82.467,397.347
14,dram,read,1024,64,back_to_back,contiguous,2048,19.159,85.5907,85.799,143.609,147.441,147.441,147.441,444.49
15,dram,read,1024,128,back_to_back,contiguous,4096,19.159,147.753,149.94,253.482,261.945,264.061,264.061,496.37
16,dram,read,2048,1,back_to_back,contiguous,64,22.491,22.491,22.491,22.491,22.491,22.491,22.491,91.0586
17,dram,read,2048,2,back_to_back,contiguous,128,22.491,25.823,25.823,28.8218,29.0884,29.155,29.155,140.49
18,dram,read,2048,4,back_to_back,contiguous,256,22.491,32.487,32.487,41.4834,42.2831,42.483,42.483,192.83
19,dram,read,2048,8,back_to_back,contiguous,512,22.491,39.151,39.151,53.4786,55.3445,55.811,55.811,293.562
20,dram,read,2048,16,back_to_back,contiguous,1024,22.491,54.5615,56.644,78.7185,81.7173,82.467,82.467,397.347
21,dram,read,2048,32,back_to_back,contiguous,2048,22.491,87.2567,87.465,143.776,147.441,147.441,147.441,444.49
22,dram,read,2048,64,back_to_back,contiguous,4096,22.491,149.471,151.606,254.981,263.011,264.061,264.061,496.37
23,dram,read,2048,128,back_to_back,contiguous,8192,21.658,270.569,271.558,482.807,500.5,508.963,508.963,515.055
24,dram,read,4096,1,back_to_back,contiguous,128,29.155,29.155,29.155,29.155,29.155,29.155,29.155,140.49
25,dram,read,4096,2,back_to_back,contiguous,256,29.155,35.819,35.819,41.8166,42.3497,42.483,42.483,192.83
26,dram,read,4096,4,back_to_back,contiguous,512,29.155,42.483,42.483,53.8118,55.4112,55.811,55.811,293.562
27,dram,read,4096,8,back_to_back,contiguous,1024,29.155,57.8935,59.976,80.7177,82.1171,82.467,82.467,397.347
28,dram,read,4096,16,back_to_back,contiguous,2048,29.155,90.5888,90.797,147.441,147.441,147.441,147.441,444.49
29,dram,read,4096,32,back_to_back,contiguous,4096,29.155,152.856,155.771,255.981,263.545,264.061,264.061,496.37
30,dram,read,4096,64,back_to_back,contiguous,8192,28.322,273.979,274.89,483.473,500.566,508.963,508.963,515.055
31,dram,read,4096,128,back_to_back,contiguous,16384,28.322,516.519,511.879,957.117,987.938,1001.27,1001.27,523.625
32,dram,read,8192,1,back_to_back,contiguous,256,42.483,42.483,42.483,42.483,42.483,42.483,42.483,192.83
33,dram,read,8192,2,back_to_back,contiguous,512,42.483,49.147,49.147,55.1446,55.6777,55.811,55.811,293.562
34,dram,read,8192,4,back_to_back,contiguous,1024,42.483,64.5575,66.64,81.7173,82.3171,82.467,82.467,397.347
35,dram,read,8192,8,back_to_back,contiguous,2048,42.483,97.2527,97.461,147.441,147.441,147.441,147.441,444.49
36,dram,read,8192,16,back_to_back,contiguous,4096,42.483,159.52,162.435,262.811,263.811,264.061,264.061,496.37
37,dram,read,8192,32,back_to_back,contiguous,8192,42.483,280.695,281.554,488.471,504.315,508.963,508.963,515.055
38,dram,read,8192,64,back_to_back,contiguous,16384,42.483,523.488,519.792,959.699,992.869,1001.27,1001.27,523.625
39,dram,read,8192,128,back_to_back,contiguous,32768,42.483,1014.67,1012.93,1896.24,1971.06,1987.54,1987.54,527.575
40,dram,read,16384,1,back_to_back,contiguous,512,55.811,55.811,55.811,55.811,55.811,55.811,55.811,293.562
41,dram,read,16384,2,back_to_back,contiguous,1024,55.811,69.139,69.139,81.1342,82.2004,82.467,82.467,397.347
42,dram,read,16384,4,back_to_back,contiguous,2048,55.811,99.5435,97.461,142.193,146.391,147.441,147.441,444.49
43,dram,read,16384,8,back_to_back,contiguous,4096,55.811,162.018,166.6,255.314,262.312,264.061,264.061,496.37
44,dram,read,16384,16,back_to_back,contiguous,8192,55.811,283.272,282.387,490.221,505.215,508.963,508.963,515.055
45,dram,read,16384,32,back_to_back,contiguous,16384,55.811,528.33,526.873,957.034,993.519,1001.27,1001.27,523.625
46,dram,read,16384,64,back_to_back,contiguous,32768,55.811,1020.74,1020.01,1895.66,1971.79,1987.54,1987.54,527.575
47,dram,read,16384,128,back_to_back,contiguous,65536,55.811,2006.64,2006.28,3767.49,3925.65,3960.08,3960.08,529.573
48,dram,write,512,1,back_to_back,contiguous,16,7.497,7.497,7.497,7.497,7.497,7.497,7.497,68.294
49,dram,write,512,2,back_to_back,contiguous,32,7.497,8.33,8.33,9.0797,9.14634,9.163,9.163,111.754
50,dram,write,512,4,back_to_back,contiguous,64,7.497,9.996,9.996,12.2451,12.445,12.495,12.495,163.906
51,dram,write,512,8,back_to_back,contiguous,128,7.497,13.328,13.328,18.5759,19.0424,19.159,19.159,213.79
52,dram,write,512,16,back_to_back,contiguous,256,7.497,19.992,19.992,31.2375,32.2371,32.487,32.487,252.162
53,dram,write,512,32,back_to_back,contiguous,512,7.497,27.0725,27.489,43.2327,45.2985,45.815,45.815,357.612
54,dram,write,512,64,back_to_back,contiguous,1024,7.497,42.7693,44.982,68.8891,73.0874,74.137,74.137,441.993
55,dram,write,512,128,back_to_back,contiguous,2048,7.497,75.5297,75.803,133.53,137.445,139.111,139.111,471.106
56,dram,write,1024,1,back_to_back,contiguous,32,9.163,9.163,9.163,9.163,9.163,9.163,9.163,111.754
57,dram,write,1024,2,back_to_back,contiguous,64,9.163,10.829,10.829,12.3284,12.4617,12.495,12.495,163.906
58,dram,write,1024,4,back_to_back,contiguous,128,9.163,14.161,14.161,18.6592,19.059,19.159,19.159,213.79
59,dram,write,1024,8,back_to_back,contiguous,256,9.163,20.825,20.825,31.3208,32.2538,32.487,32.487,252.162
60,dram,write,1024,16,back_to_back,contiguous,512,9.163,27.9055,28.322,43.316,45.3152,45.815,45.815,357.612
61,dram,write,1024,32,back_to_back,contiguous,1024,9.163,43.6284,45.815,68.9724,73.1041,74.137,74.137,441.993
62,dram,write,1024,64,back_to_back,contiguous,2048,9.163,76.3757,76.636,133.863,138.061,139.111,139.111,471.106
63,dram,write,1024,128,back_to_back,contiguous,4096,9.163,138.538,139.944,244.069,253.165,254.065,254.065,515.899
64,dram,write,2048,1,back_to_back,contiguous,64,12.495,12.495,12.495,12.495,12.495,12.495,12.495,163.906
65,dram,write,2048,2,back_to_back,contiguous,128,12.495,15.827,15.827,18.8258,19.0924,19.159,19.159,213.79
66,dram,write,2048,4,back_to_back,contiguous,256,12.495,22.491,22.491,31.4874,32.2871,32.487,32.487,252.162
67,dram,write,2048,8,back_to_back,contiguous,512,12.495,29.5715,29.988,43.4826,45.3485,45.815,45.815,357.612
68,dram,write,2048,16,back_to_back,contiguous,1024,12.495,45.2944,47.481,69.139,73.1374,74.137,74.137,441.993
69,dram,write,2048,32,back_to_back,contiguous,2048,12.495,78.0417,78.302,134.696,138.595,139.111,139.111,471.106
70,dram,write,2048,64,back_to_back,contiguous,4096,12.495,140.256,141.61,246.401,254.065,254.065,254.065,515.899
71,dram,write,2048,128,back_to_back,contiguous,8192,12.495,261.386,262.395,473.394,490.504,498.967,498.967,525.373
72,dram,write,4096,1,back_to_back,contiguous,128,19.159,19.159,19.159,19.159,19.159,19.159,19.159,213.79
73,dram,write,4096,2,back_to_back,contiguous,256,19.159,25.823,25.823,31.8206,32.3537,32.487,32.487,252.162
74,dram,write,4096,4,back_to_back,contiguous,512,19.159,32.9035,33.32,44.0657,45.4651,45.815,45.815,357.612
75,dram,write,4096,8,back_to_back,contiguous,1024,19.159,48.7305,50.813,71.8046,73.6705,74.137,74.137,441.993
76,dram,write,4096,16,back_to_back,contiguous,2048,19.159,81.4257,81.634,137.861,138.861,139.111,139.111,471.106
77,dram,write,4096,32,back_to_back,contiguous,4096,19.159,143.692,146.608,246.735,254.065,254.065,254.065,515.899
78,dram,write,4096,64,back_to_back,contiguous,8192,19.159,264.79,265.727,473.727,490.57,498.967,498.967,525.373
79,dram,write,4096,128,back_to_back,contiguous,16384,19.159,507.362,502.716,947.704,979.158,992.936,992.936,528.018
80,dram,write,8192,1,back_to_back,contiguous,256,32.487,32.487,32.487,32.487,32.487,32.487,32.487,252.162
81,dram,write,8192,2,back_to_back,contiguous,512,34.153,39.984,39.984,45.2319,45.6984,45.815,45.815,357.612
82,dram,write,8192,4,back_to_back,contiguous,1024,34.153,55.811,57.477,73.1374,73.9371,74.137,74.137,441.993
83,dram,write,8192,8,back_to_back,contiguous,2048,34.153,88.298,88.298,138.528,138.994,139.111,139.111,471.106
84,dram,write,8192,16,back_to_back,contiguous,4096,34.153,150.461,153.272,254.065,254.065,254.065,254.065,515.899
85,dram,write,8192,32,back_to_back,contiguous,8192,33.32,271.532,272.391,479.225,494.835,498.967,498.967,525.373
86,dram,write,8192,64,back_to_back,contiguous,16384,33.32,514.208,510.629,949.703,983.49,992.936,992.936,528.018
87,dram,write,8192,128,back_to_back,contiguous,32768,33.32,1005.45,1003.77,1887.33,1961.52,1979.21,1979.21,529.796
88,dram,write,16384,1,back_to_back,contiguous,512,45.815,45.815,45.815,45.815,45.815,45.815,45.815,357.612
89,dram,write,16384,2,back_to_back,contiguous,1024,47.481,60.809,60.809,72.8042,73.8704,74.137,74.137,441.993
90,dram,write,16384,4,back_to_back,contiguous,2048,47.481,91.2135,89.131,133.863,138.061,139.111,139.111,471.106
91,dram,write,16384,8,back_to_back,contiguous,4096,47.481,152.647,156.604,245.319,252.316,254.065,254.065,515.899
92,dram,write,16384,16,back_to_back,contiguous,8192,46.648,274.005,272.391,480.225,495.218,498.967,498.967,525.373
93,dram,write,16384,32,back_to_back,contiguous,16384,46.648,519.193,517.71,947.787,985.189,992.936,992.936,528.018
94,dram,write,16384,64,back_to_back,contiguous,32768,46.648,1011.59,1010.85,1887.08,1963.46,1979.21,1979.21,529.796
